PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,,
Aaron Gordon,ORL,24,4,2,2,25.9,15.3,5.3,10.3,51.2,1.3,2.8,45.5,3.5,5.3,66.7,1,7.5,8.5,3.3,1.5,0.3,0.8,2.3,31.8,1,0,,
Aaron Holiday,IND,23,8,6,2,31.1,10.1,3.9,8.4,46.3,0.9,2.3,38.9,1.5,1.9,80,0.1,2.9,3,4,1.6,1.3,0.4,2.3,23,1,0,,
Abdel Nader,OKC,26,7,4,3,15.8,8.3,3.3,6.1,53.5,1.3,3.3,39.1,0.4,0.6,75,0,1.4,1.4,0.4,1,0.4,0,1.9,10.9,0,0,,
Admiral Schofield,WAS,23,6,0,6,12.6,2.7,0.8,2.8,29.4,0.8,2.3,35.7,0.2,0.3,50,0.2,2,2.2,0.2,0,0,0.2,1.5,6,0,0,,
Al Horford,PHI,34,7,4,3,25.4,10.9,4.3,7.9,54.5,1.4,2.7,52.6,0.9,1,85.7,1.6,4.7,6.3,3.7,2.1,0,0.9,2,24.4,0,0,,
Alec Burks,PHI,28,7,4,3,20.4,14.6,5.4,9.6,56.7,2.3,4,57.1,1.4,2,71.4,0.7,2.1,2.9,2.6,0.9,0.6,0,1.1,22.7,0,0,,
Alex Caruso,LAL,26,6,3,3,23.9,5.5,1.7,5.2,32.3,0.3,2.2,15.4,1.8,3,61.1,0.5,1.3,1.8,3.7,1.2,1.7,0.2,2.2,17.5,0,0,,
Alex Len,SAC,27,6,3,3,12.6,5,1.5,2.8,52.9,0.3,0.5,66.7,1.7,2.3,71.4,0.8,3.7,4.5,0.5,0.8,0.2,0.3,2.2,11.8,0,0,,
Alize Johnson,IND,24,4,2,2,16,4,1.3,3.5,35.7,0.8,2,37.5,0.8,1,75,2.3,5.3,7.5,1.3,1,0.8,0.5,1.5,17.6,1,0,,
Amir Coffey,LAC,23,5,4,1,12.3,6,2,4.2,47.6,1,2.4,41.7,1,1.6,62.5,0,0.4,0.4,1,1,0.8,0.2,1.6,10,0,0,,
Andre Iguodala,MIA,36,7,3,4,22.7,5,1.9,5.3,35.1,0.7,3.3,21.7,0.6,1,57.1,1,2.6,3.6,3.3,1.3,0.9,0.7,1,17.6,0,0,,
Andre Roberson,OKC,28,7,3,4,12.4,2.9,1.1,4.1,27.6,0.4,2,21.4,0.1,0.3,50,1,2.9,3.9,0.6,0.3,0.1,0.4,1.9,9.8,0,0,,
Anfernee Simons,POR,21,5,4,1,9.8,1.4,0.6,2.2,27.3,0.2,1.4,14.3,0,0,0,0,1,1,0.4,0,0,0,0.8,3.2,0,0,,
Anthony Davis,LAL,27,7,3,4,34.6,21.6,6.1,14.6,42.2,1,3.4,29.2,8.3,9.7,85.3,2.6,6,8.6,4,2.7,1.3,1.3,2.6,42.9,2,0,,
Anthony Tolliver,MEM,35,8,2,6,17.5,4.4,1.4,3.4,40.7,1.3,3,41.7,0.4,0.5,75,0.5,2.1,2.6,1.1,0.5,0.5,0,1.3,10.2,0,0,,
Antonius Cleveland,DAL,26,5,2,3,4.7,1.2,0.4,1.6,25,0,0.4,0,0.4,0.6,66.7,0.4,0.4,0.8,0.2,0.2,0,0.4,1.2,3.5,0,0,,
Anzejs Pasecniks,WAS,24,3,0,3,10.7,4,1.7,3.3,50,0,0.3,0,0.7,1.3,50,1,1.7,2.7,0.3,0.7,0.3,0,3.3,8,0,0,,
Austin Rivers,HOU,27,8,4,4,24,11.1,3.6,8.6,42,1.6,4.8,34.2,2.3,2.6,85.7,0.3,3.9,4.1,2.1,1.9,0.9,0,2.1,20,0,0,,
BJ Johnson,ORL,24,2,1,1,18.2,8.5,2,7,28.6,1,1.5,66.7,3.5,4,87.5,1,3.5,4.5,0.5,1.5,0.5,0,1.5,14.7,0,0,,
Bam Adebayo,MIA,22,7,3,4,26.1,13.3,4.6,10.1,45.1,0.1,0.1,100,4,5.7,70,1.6,5.9,7.4,5,2.7,0.6,1.1,2.6,32.1,1,0,,
Ben McLemore,HOU,27,8,4,4,22.8,12,4.1,9.4,44,3.4,7.8,43.5,0.4,0.6,60,0.1,2.1,2.3,0.5,0.5,0.9,0.5,3.1,19.1,0,0,,
Ben Simmons,PHI,23,3,2,1,28.8,11.7,4.7,10,46.7,0,0.3,0,2.3,4.7,50,1.7,5.3,7,4.3,2.7,1.3,0.3,4.3,28.9,1,0,,
Boban Marjanovic,DAL,31,7,2,5,12.1,8.1,3.6,5.4,65.8,0,0.3,0,1,1.4,70,1.9,4.4,6.3,1,0.6,0.1,0.4,1.3,18.3,1,0,,
Bogdan Bogdanovic,SAC,27,8,3,5,32,19.6,7.5,15.9,47.2,3.4,7.6,44.3,1.3,1.4,90.9,1.1,3.4,4.5,4.8,1.6,1.3,0.1,2.3,34.7,0,0,,
Bol Bol,DEN,20,7,2,5,12.4,5.7,2,4,50,0.6,1.3,44.4,1.1,1.4,80,0.7,2,2.7,0.9,1.4,0.3,0.9,1.6,12.3,0,0,,
Brad Wanamaker,BOS,30,8,5,3,19.3,9.3,3.3,5.5,59.1,0.5,1.5,33.3,2.3,2.5,90,0.4,2.1,2.5,2.6,0.8,1.1,0.3,1.6,19.6,0,0,,
Brandon Clarke,MEM,23,8,2,6,26.7,12.3,5.3,8.9,59.2,0.3,1.5,16.7,1.5,2.4,63.2,1.8,4.9,6.6,1.1,1.1,0.8,0.8,2.3,25.3,0,0,,
Brandon Ingram,NOP,22,6,2,4,30.8,19.8,6.3,15,42.2,2.2,5,43.3,5,6.3,78.9,0.3,4.7,5,3,2.5,0.8,0.2,2.8,30.8,0,0,,
Brian Bowen II,IND,21,1,1,0,2.3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,
Brook Lopez,MIL,32,7,3,4,27.8,20.4,6.9,14.3,48,2.6,5.9,43.9,4.1,4.4,93.5,2.3,3.4,5.7,0.6,1,0.4,2,2.3,34.4,1,0,,
Bruno Caboclo,HOU,24,3,1,2,8.2,6,2,4,50,0.7,1.7,40,1.3,1.3,100,0.3,2,2.3,0,1.3,1,0.3,2,11.5,0,0,,
Buddy Hield,SAC,27,8,3,5,21.4,14.3,5.3,12.5,42,3.4,8.8,38.6,0.4,0.6,60,0,2.8,2.8,2,2.3,0.8,0,1.9,20.6,0,0,,
CJ McCollum,POR,28,8,6,2,40.9,20.1,7.8,18,43.1,2.5,6.8,37,2.1,2.6,81,0.6,4.8,5.4,5.3,1.4,1,0.4,3,37.2,0,0,,
Cameron Johnson,PHX,24,8,8,0,32.4,13.3,5,10,50,1.9,5.4,34.9,1.4,1.4,100,1.3,4.6,5.9,2.1,0.4,0.8,0.5,2,26.9,2,0,,
Cameron Payne,PHX,25,8,8,0,22.9,10.9,4.1,8.5,48.5,1.9,3.6,51.7,0.8,0.9,85.7,0.5,3.4,3.9,3,1.4,1,0.3,2.5,22.4,0,0,,
Caris LeVert,BKN,25,6,3,3,33.1,25,9.8,20.5,48,1.3,5.2,25.8,4,6,66.7,1.5,3.5,5,6.7,3.3,1.5,0.5,1.5,43.7,1,0,,
Carmelo Anthony,POR,36,8,6,2,34.9,16.5,5.9,12.9,45.6,1.9,4,46.9,2.9,3.4,85.2,1.3,5.6,6.9,0.8,1.6,1.1,0.5,3.6,29.1,1,0,,
Carsen Edwards,BOS,22,2,1,1,17.3,7.5,2.5,7.5,33.3,1.5,4,37.5,1,3,33.3,0,2,2,1,0,1,0.5,0.5,15.9,0,0,,
Cheick Diallo,PHX,23,3,3,0,3.8,2.7,1,1.7,60,0,0.3,0,0.7,0.7,100,0.7,0.7,1.3,0,0.7,0.3,0,0.3,4.6,0,0,,
Chimezie Metu,SAS,23,2,1,1,16.4,6,2,3.5,57.1,0,0.5,0,2,2.5,80,1,2.5,3.5,2,2.5,1,1,1.5,16.7,0,0,,
Chris Boucher,TOR,27,7,6,1,13.5,9,3.1,5.6,56.4,1.4,2.7,52.6,1.3,1.9,69.2,1.9,3.1,5,0.4,0.7,0.3,1.1,1.4,19.2,1,0,,
Chris Chiozza,BKN,24,7,5,2,21.8,8.3,3.3,8.7,37.7,1.3,4.4,29,0.4,0.4,100,0.4,2.1,2.6,5,2.1,0.9,0.3,2,20.2,1,0,,
Chris Clemons,HOU,22,4,1,3,9.9,5,1.5,4,37.5,1,3.3,30.8,1,1,100,0.3,1.5,1.8,1.3,0.5,0.8,0.3,1.5,11.5,0,0,,
Chris Paul,OKC,35,7,4,3,29.2,16.9,5.7,11.7,48.8,1.4,3.6,40,4,4.1,96.6,0.7,4.9,5.6,6.6,3.4,1.9,0.3,2.7,36.4,0,0,,
Chris Silva,MIA,23,3,0,3,13.2,4.3,1.7,3,55.6,0,0.3,0,1,2,50,2,3.7,5.7,0.7,0.3,0,1,1.7,14.8,0,0,,
Corey Brewer,SAC,34,5,2,3,6.5,1,0.4,0.8,50,0,0.2,0,0.2,0.6,33.3,0.4,1.2,1.6,0.4,0.4,0.8,0,1.4,5.5,0,0,,
Cory Joseph,SAC,28,8,3,5,27.6,6.6,2,5.4,37.2,1.1,3.1,36,1.5,1.5,100,0.9,2.3,3.1,4.1,2,0.9,0,1.5,17.2,0,0,,
